"source","target","weight","correlation","cor"
"Actinoplanes","Papillibacter",0.970636921577976,0.970636921577976,1
"Actinoplanes","Rubrobacter",0.941228125189004,0.941228125189004,1
"Actinoplanes","Segetibacter",0.964154089782999,0.964154089782999,1
"Actinoplanes","Stenotrophobacter",0.918147401688816,0.918147401688816,1
"Adhaeribacter","Candidatus Accumulibacter",0.902348951364221,0.902348951364221,1
"Adhaeribacter","Candidatus Microthrix",0.935204480417133,0.935204480417133,1
"Adhaeribacter","Clostridium sensu stricto 13",0.955955863943963,0.955955863943963,1
"Adhaeribacter","Elusimicrobium",0.96426214039512,0.96426214039512,1
"Adhaeribacter","Ignavibacterium",0.942011458436039,0.942011458436039,1
"Adhaeribacter","Nitrolancea",0.948360283177087,0.948360283177087,1
"Adhaeribacter","Nitrospira",0.927451773892474,0.927451773892474,1
"Adhaeribacter","Polymorphobacter",0.899125076886478,0.899125076886478,1
"Adhaeribacter","SCGC-AB-539-J10",0.920952698854198,0.920952698854198,1
"Adhaeribacter","Skermanella",0.919097786830034,0.919097786830034,1
"Adhaeribacter","Tetrasphaera",0.929682328481306,0.929682328481306,1
"Adhaeribacter","Thermomonas",0.91202415962406,0.91202415962406,1
"Adhaeribacter","Truepera",0.923669646609555,0.923669646609555,1
"ADurb.Bin120","Bdellovibrio",0.979374966037055,0.979374966037055,1
"ADurb.Bin120","Candidatus Accumulibacter",0.92059481482714,0.92059481482714,1
"ADurb.Bin120","Candidatus Competibacter",0.989107869794033,0.989107869794033,1
"ADurb.Bin120","Candidatus Nitrotoga",0.995812863630704,0.995812863630704,1
"ADurb.Bin120","Candidatus Ovatusbacter",0.926040339147127,0.926040339147127,1
"ADurb.Bin120","Dechloromonas",0.945630705438922,0.945630705438922,1
"ADurb.Bin120","Defluviicoccus",0.927040039099438,0.927040039099438,1
"ADurb.Bin120","Desulfatiglans",0.89732656404506,0.89732656404506,1
"ADurb.Bin120","Gemmobacter",0.905100292206296,0.905100292206296,1
"ADurb.Bin120","Geothrix",0.950165035898579,0.950165035898579,1
"ADurb.Bin120","Ideonella",0.918075668337431,0.918075668337431,1
"ADurb.Bin120","Lautropia",0.97917372259051,0.97917372259051,1
"ADurb.Bin120","Legionella",0.962929314682431,0.962929314682431,1
"ADurb.Bin120","Limnohabitans",0.965563087868671,0.965563087868671,1
"ADurb.Bin120","Longivirga",0.907177266741666,0.907177266741666,1
"ADurb.Bin120","Methylorosula",0.92391809022522,0.92391809022522,1
"ADurb.Bin120","Nitrosomonas",0.991702942379116,0.991702942379116,1
"ADurb.Bin120","Nitrosospira",0.938692678209231,0.938692678209231,1
"ADurb.Bin120","oc32",0.991702942379116,0.991702942379116,1
"ADurb.Bin120","Proteiniclasticum",0.926040339147127,0.926040339147127,1
"ADurb.Bin120","Pseudorhodobacter",0.897079419803352,0.897079419803352,1
"ADurb.Bin120","Rhodoferax",0.979908561023449,0.979908561023449,1
"ADurb.Bin120","Sphingobacterium",0.924008989204971,0.924008989204971,1
"ADurb.Bin120","Sphingorhabdus",0.909694695033331,0.909694695033331,1
"ADurb.Bin120","Sulfuritalea",0.916708219307108,0.916708219307108,1
"ADurb.Bin120","Tabrizicola",0.940265358024242,0.940265358024242,1
"ADurb.Bin120","Thermomonas",0.916373821346697,0.916373821346697,1
"ADurb.Bin120","Thiothrix",0.931200654271492,0.931200654271492,1
"ADurb.Bin120","Woeseia",0.971690214281842,0.971690214281842,1
"Aerococcus","CHKCI001",0.933465955857233,0.933465955857233,1
"Aerococcus","Comamonas",0.966824306062302,0.966824306062302,1
"Aerococcus","Jeotgalicoccus",0.974368390352658,0.974368390352658,1
"Aerococcus","Kocuria",0.9789424803325,0.9789424803325,1
"Aerococcus","Micrococcus",0.903101818715832,0.903101818715832,1
"Aerococcus","Rubellimicrobium",0.901691141512054,0.901691141512054,1
"Aeromonas","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.962685017688635,0.962685017688635,1
"Aeromonas","Candidatus Competibacter",0.910880885415756,0.910880885415756,1
"Aeromonas","Dechloromonas",0.969553665145494,0.969553665145494,1
"Aeromonas","Gemmobacter",0.959946844542749,0.959946844542749,1
"Aeromonas","Granulosicoccus",0.971644831950185,0.971644831950185,1
"Aeromonas","Ideonella",0.907804403515774,0.907804403515774,1
"Aeromonas","Lentimicrobium",0.971644831950185,0.971644831950185,1
"Aeromonas","Limnohabitans",0.9556959516707,0.9556959516707,1
"Aeromonas","Methylorosula",0.933595443161345,0.933595443161345,1
"Aeromonas","Methylotenera",0.948103206968198,0.948103206968198,1
"Aeromonas","Nitrosomonas",0.900442998516104,0.900442998516104,1
"Aeromonas","Nitrosospira",0.966369078693193,0.966369078693193,1
"Aeromonas","Novosphingobium",0.963445506657802,0.963445506657802,1
"Aeromonas","oc32",0.900442998516104,0.900442998516104,1
"Aeromonas","OM60(NOR5) clade",0.952555737931313,0.952555737931313,1
"Aeromonas","Phreatobacter",0.901519428177646,0.901519428177646,1
"Aeromonas","Pseudorhodobacter",0.987059662531083,0.987059662531083,1
"Aeromonas","Rhodobacter",0.99411309415694,0.99411309415694,1
"Aeromonas","Rhodoferax",0.913605210839012,0.913605210839012,1
"Aeromonas","Sphingobacterium",0.973421732935413,0.973421732935413,1
"Aeromonas","Sphingorhabdus",0.900335688432596,0.900335688432596,1
"Aeromonas","TX1A-55",0.924245725021343,0.924245725021343,1
"Afipia","Alloactinosynnema",0.963608898243426,0.963608898243426,1
"Afipia","Prosthecobacter",0.915607955405185,0.915607955405185,1
"Afipia","Umezawaea",0.940897304601551,0.940897304601551,1
"Agathobacter","Catenibacterium",0.929402152095694,0.929402152095694,1
"Agathobacter","Clostridium sensu stricto 1",0.980431567921114,0.980431567921114,1
"Agathobacter","Coprococcus",0.990689737138175,0.990689737138175,1
"Agathobacter","Dorea",0.934377345160996,0.934377345160996,1
"Agathobacter","Enterobacter",0.91856287357649,0.91856287357649,1
"Agathobacter","Erysipelotrichaceae UCG-003",0.959556179284506,0.959556179284506,1
"Agathobacter","Fimbriiglobus",0.907337531475654,0.907337531475654,1
"Agathobacter","Intestinibacter",0.980546973178273,0.980546973178273,1
"Agathobacter","JGI 0001001-H03",0.90093220955455,0.90093220955455,1
"Agathobacter","Klebsiella",0.93588283569802,0.93588283569802,1
"Agathobacter","Lachnospiraceae UCG-003",0.990689751177112,0.990689751177112,1
"Agathobacter","Lachnospiraceae UCG-004",0.988453908917366,0.988453908917366,1
"Agathobacter","Megamonas",0.934356950087275,0.934356950087275,1
"Agathobacter","Megasphaera",0.941664828378342,0.941664828378342,1
"Agathobacter","Oceanicella",0.957103728091218,0.957103728091218,1
