,ACK1,ACK2,ACK3,AN1,AN2,AN3,AR1,AR2,AR3,SCK2.1,SCK2.2,SCK2.3,SN2.1,SN2.2,SN2.3,SR1,SR2,SR3,YCK1,YCK2,YCK3,YN1,YN2,YN3,YR1,YR2,YR3
ASV_83,0,0,0,17,0,14,0,0,0,0,0,20,482,397,410,0,0,0,0,0,0,0,0,0,0,0,0
ASV_84,0,0,0,0,0,0,223,138,104,0,0,0,0,0,0,193,132,41,17,0,0,0,0,0,196,194,102
ASV_85,0,0,0,0,0,0,0,0,9,0,0,0,0,691,524,0,0,0,0,0,0,0,6,0,0,100,0
ASV_86,391,440,371,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_87,0,0,0,0,12,0,122,74,66,0,0,0,0,0,0,113,51,148,279,38,0,0,0,0,140,184,59
ASV_88,21,582,21,0,0,0,33,0,0,0,0,0,0,0,2,93,0,0,185,19,0,0,0,0,51,170,83
ASV_89,166,108,0,0,17,0,97,142,37,0,0,0,0,0,0,55,27,162,116,52,0,0,0,0,109,92,70
ASV_90,0,0,0,0,15,22,116,256,170,0,0,0,0,0,0,0,89,151,26,0,0,0,0,0,69,210,117
ASV_91,15,0,724,0,0,0,0,0,0,84,134,118,0,0,0,0,0,0,28,14,117,0,0,0,0,0,0
ASV_92,100,0,0,0,0,0,67,84,91,0,0,0,0,0,0,48,43,88,53,143,6,0,0,0,106,244,158
ASV_93,13,37,0,0,0,0,0,39,116,635,170,191,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0
ASV_94,12,0,121,0,0,0,0,0,0,305,343,384,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
ASV_95,0,0,0,0,0,0,0,0,0,0,4,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_97,0,0,0,0,26,26,102,64,62,0,0,0,0,32,58,20,120,81,18,0,0,0,40,27,19,188,325
ASV_98,322,450,299,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_99,0,0,0,0,0,0,0,0,0,1163,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,16,11
ASV_100,128,530,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,77,96,0,0,0,0,0,9
ASV_101,51,37,559,0,0,0,13,0,0,78,96,23,0,0,0,25,0,24,123,13,89,0,0,0,0,28,22
ASV_102,297,0,21,0,0,0,0,17,26,0,0,0,0,0,0,0,32,33,32,662,30,0,0,0,0,0,23
ASV_103,0,0,0,0,12,7,28,97,61,0,0,0,0,0,0,28,142,330,41,0,0,0,0,0,101,136,166
ASV_104,0,0,0,0,0,7,50,95,21,0,0,0,0,0,0,29,66,22,0,0,0,0,11,0,85,471,291
ASV_105,0,7,425,0,0,0,0,0,0,165,208,127,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0
ASV_106,7,58,0,0,13,0,33,134,74,0,0,0,0,0,0,29,129,227,86,6,0,0,0,0,81,113,139
ASV_107,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1105,0,0,0,0,0,0,0
ASV_108,0,0,0,0,11,0,170,69,98,0,0,0,0,0,0,121,43,38,49,0,0,0,0,0,245,196,80
ASV_109,0,47,0,0,30,21,79,104,52,0,0,0,0,0,0,147,200,131,0,9,0,0,0,0,63,55,166
ASV_110,174,96,19,0,0,38,57,143,100,0,0,0,0,0,0,64,36,118,38,0,0,0,0,0,42,85,78
ASV_111,0,0,0,0,22,0,142,72,69,46,38,27,0,0,0,118,0,106,61,0,0,0,0,0,87,182,109
ASV_112,258,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,70,615,33,0,0,0,9,0,11
ASV_113,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,86,646,0,0,0,0,0,78,96
ASV_114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0
ASV_115,0,0,0,0,0,0,48,73,61,0,0,0,0,0,0,0,66,55,34,12,0,0,0,0,121,452,111
ASV_116,0,0,0,0,0,13,70,56,40,0,0,0,0,0,0,45,42,35,102,0,0,0,0,0,225,217,176
ASV_117,12,0,621,0,0,0,8,0,0,50,49,32,0,0,0,0,0,0,153,0,55,0,0,0,0,17,13
ASV_118,0,0,0,0,15,21,0,160,110,0,0,0,0,0,0,36,469,91,11,0,0,0,0,0,0,42,48
ASV_119,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0
